preferred_field_name;min;max;q1;median;q3;mean;sd
VAK_Academisch_jaar;2011-2012;2029-2020;NA;NA;NA;NA;NA
VAK_Opleidingsnaam;Archaeology;Theology & Religious Studies (1 yr);NA;NA;NA;NA;NA
VAK_Specialisatienaam;Advanced Matter and Energy Physics;Work and Organizational Psychology;NA;NA;NA;NA;NA
VAK_Vaknaam;%longNL%;Zorg in de samenleving;NA;NA;NA;NA;NA
VAK_Periode;Ac. Jaar;P6;NA;NA;NA;NA;NA
VAK_EC;0EC;9EC;NA;NA;NA;NA;NA
VAK_Code;AM_1001;XMU_437004;NA;NA;NA;NA;NA
VAK_Fase;M;M;NA;NA;NA;NA;NA
VAK_Studiejaar;1;3;1;1;2;1,56;0,613
VAK_Verplicht;k;v;NA;NA;NA;NA;NA
VAK_Opmerking;* choose 1 of 2;* verplicht keuze;NA;NA;NA;NA;NA
Grijs: geen specialisatie/afstudeerrichting;NA;NA;NA;NA;NA;NA;NA
